,date,country,price
6804,1993-12-31,Korea,-8.3
6814,1993-12-31,Norway,6.0
6815,1993-12-31,New Zealand,4.85
6823,1993-12-31,Sweden,-7.9
6829,1993-12-31,United States,-0.34
6830,1993-12-31,Euro area,-1.11
6831,1993-12-31,South Africa,-2.33
6840,1994-03-31,Canada,2.89
6841,1994-03-31,Switzerland,-1.82
6844,1994-03-31,Colombia,10.85
6853,1994-03-31,United Kingdom,-0.29
6855,1994-03-31,Hong Kong SAR,22.89
6863,1994-03-31,Italy,-4.21
6865,1994-03-31,Korea,-8.84
6875,1994-03-31,Norway,14.31
6876,1994-03-31,New Zealand,9.7
6884,1994-03-31,Sweden,0.64
6890,1994-03-31,United States,-0.01
6891,1994-03-31,Euro area,-0.58
6892,1994-03-31,South Africa,-1.53
6901,1994-06-30,Canada,2.59
6902,1994-06-30,Switzerland,-1.38
6905,1994-06-30,Colombia,5.65
6914,1994-06-30,United Kingdom,0.65
6916,1994-06-30,Hong Kong SAR,18.23
6924,1994-06-30,Italy,-5.54
6926,1994-06-30,Korea,-7.63
6936,1994-06-30,Norway,12.27
6937,1994-06-30,New Zealand,12.56
6945,1994-06-30,Sweden,3.05
6951,1994-06-30,United States,0.22
6952,1994-06-30,Euro area,-0.37
6953,1994-06-30,South Africa,3.83
6962,1994-09-30,Canada,3.09
6963,1994-09-30,Switzerland,0.38
6966,1994-09-30,Colombia,8.65
6975,1994-09-30,United Kingdom,0.67
6977,1994-09-30,Hong Kong SAR,8.32
6985,1994-09-30,Italy,-5.43
6987,1994-09-30,Korea,-7.39
6997,1994-09-30,Norway,12.19
6998,1994-09-30,New Zealand,13.0
7006,1994-09-30,Sweden,4.2
7012,1994-09-30,United States,-0.53
7013,1994-09-30,Euro area,-0.39
7014,1994-09-30,South Africa,2.55
7023,1994-12-31,Canada,3.25
7024,1994-12-31,Switzerland,-1.25
7027,1994-12-31,Colombia,10.36
7036,1994-12-31,United Kingdom,1.77
7038,1994-12-31,Hong Kong SAR,6.41
7046,1994-12-31,Italy,-5.14
7048,1994-12-31,Korea,-5.77
7058,1994-12-31,Norway,8.12
7059,1994-12-31,New Zealand,11.45
7067,1994-12-31,Sweden,1.57
7073,1994-12-31,United States,-0.76
7074,1994-12-31,Euro area,-0.53
7075,1994-12-31,South Africa,1.55
7084,1995-03-31,Canada,-5.33
7085,1995-03-31,Switzerland,-4.23
7088,1995-03-31,Colombia,8.56
7097,1995-03-31,United Kingdom,-1.02
7099,1995-03-31,Hong Kong SAR,-9.77
7104,1995-03-31,Israel,4.05
7107,1995-03-31,Italy,-5.37
7109,1995-03-31,Korea,-4.76
7119,1995-03-31,Norway,4.5
7120,1995-03-31,New Zealand,6.31
7128,1995-03-31,Sweden,-0.33
7134,1995-03-31,United States,-0.9
7135,1995-03-31,Euro area,-0.88
7136,1995-03-31,South Africa,0.83
7145,1995-06-30,Canada,-8.03
7146,1995-06-30,Switzerland,-4.96
7149,1995-06-30,Colombia,10.95
7158,1995-06-30,United Kingdom,-1.18
7160,1995-06-30,Hong Kong SAR,-13.73
7165,1995-06-30,Israel,2.86
7168,1995-06-30,Italy,-4.42
7170,1995-06-30,Korea,-4.67
7180,1995-06-30,Norway,5.64
7181,1995-06-30,New Zealand,4.09
7189,1995-06-30,Sweden,-1.61
7195,1995-06-30,United States,-1.1
7196,1995-06-30,Euro area,-1.2
7197,1995-06-30,South Africa,-1.8
7206,1995-09-30,Canada,-5.32
7207,1995-09-30,Switzerland,-5.55
7210,1995-09-30,Colombia,6.77
7219,1995-09-30,United Kingdom,-2.27
7221,1995-09-30,Hong Kong SAR,-17.38
7226,1995-09-30,Israel,4.68
7229,1995-09-30,Italy,-4.35
7231,1995-09-30,Korea,-3.86
7241,1995-09-30,Norway,3.48
7242,1995-09-30,New Zealand,4.92
7250,1995-09-30,Sweden,-3.31
7256,1995-09-30,United States,-0.41
7257,1995-09-30,Euro area,-1.08
7258,1995-09-30,South Africa,-1.51
7267,1995-12-31,Canada,-6.04
7268,1995-12-31,Switzerland,-5.76
7271,1995-12-31,Colombia,4.99
7280,1995-12-31,United Kingdom,-3.25
7282,1995-12-31,Hong Kong SAR,-16.62
7287,1995-12-31,Israel,6.71
7290,1995-12-31,Italy,-2.78
7292,1995-12-31,Korea,-4.45
7302,1995-12-31,Norway,5.44
7303,1995-12-31,New Zealand,6.22
7311,1995-12-31,Sweden,-3.21
7317,1995-12-31,United States,-0.25
7318,1995-12-31,Euro area,-1.0
7319,1995-12-31,South Africa,-1.53
7328,1996-03-31,Canada,-4.04
7329,1996-03-31,Switzerland,-5.79
7332,1996-03-31,Colombia,2.02
7341,1996-03-31,United Kingdom,-0.69
7343,1996-03-31,Hong Kong SAR,-8.98
7348,1996-03-31,Israel,7.03
7351,1996-03-31,Italy,-0.81
7353,1996-03-31,Korea,-4.28
7362,1996-03-31,Netherlands,6.54
7363,1996-03-31,Norway,7.18
7364,1996-03-31,New Zealand,9.76
7372,1996-03-31,Sweden,-1.96
7378,1996-03-31,United States,0.01
7379,1996-03-31,Euro area,-0.69
7380,1996-03-31,South Africa,-2.25
7389,1996-06-30,Canada,0.59
7390,1996-06-30,Switzerland,-5.34
7393,1996-06-30,Colombia,1.51
7402,1996-06-30,United Kingdom,-1.27
7404,1996-06-30,Hong Kong SAR,-3.46
7409,1996-06-30,Israel,7.37
7412,1996-06-30,Italy,-0.65
7414,1996-06-30,Korea,-4.14
7423,1996-06-30,Netherlands,8.32
7424,1996-06-30,Norway,7.63
7425,1996-06-30,New Zealand,9.81
7433,1996-06-30,Sweden,-1.85
7439,1996-06-30,United States,0.04
7440,1996-06-30,Euro area,-0.09
7441,1996-06-30,South Africa,-2.75
7450,1996-09-30,Canada,-1.7
7451,1996-09-30,Switzerland,-4.39
7454,1996-09-30,Colombia,-5.02
7463,1996-09-30,United Kingdom,1.75
7465,1996-09-30,Hong Kong SAR,5.79
7470,1996-09-30,Israel,1.74
7473,1996-09-30,Italy,0.13
7475,1996-09-30,Korea,-4.09
7484,1996-09-30,Netherlands,9.4
7485,1996-09-30,Norway,7.49
7486,1996-09-30,New Zealand,6.58
7494,1996-09-30,Sweden,1.47
7500,1996-09-30,United States,-0.27
7501,1996-09-30,Euro area,0.5
7502,1996-09-30,South Africa,-4.01
7511,1996-12-31,Canada,-1.85
7512,1996-12-31,Switzerland,-5.57
7515,1996-12-31,Colombia,-6.15
7524,1996-12-31,United Kingdom,4.91
7526,1996-12-31,Hong Kong SAR,18.02
7531,1996-12-31,Israel,1.16
7534,1996-12-31,Italy,0.8
7536,1996-12-31,Korea,-3.54
7545,1996-12-31,Netherlands,9.91
7546,1996-12-31,Norway,8.21
7547,1996-12-31,New Zealand,5.39
7555,1996-12-31,Sweden,3.57
7561,1996-12-31,United States,-0.45
7562,1996-12-31,Euro area,0.19
7563,1996-12-31,South Africa,-4.87
7572,1997-03-31,Canada,0.39
7573,1997-03-31,Switzerland,-4.71
7576,1997-03-31,Colombia,-8.51
7584,1997-03-31,France,-2.84
7585,1997-03-31,United Kingdom,5.37
7587,1997-03-31,Hong Kong SAR,32.5
7592,1997-03-31,Israel,0.09
7595,1997-03-31,Italy,1.83
7597,1997-03-31,Korea,-1.63
7606,1997-03-31,Netherlands,10.63
7607,1997-03-31,Norway,7.58
7608,1997-03-31,New Zealand,4.91
7616,1997-03-31,Sweden,4.59
7622,1997-03-31,United States,-0.21
7623,1997-03-31,Euro area,-0.68
7624,1997-03-31,South Africa,-5.39
7633,1997-06-30,Canada,1.25
7634,1997-06-30,Switzerland,-5.27
7637,1997-06-30,Colombia,-8.97
7645,1997-06-30,France,-0.45
7646,1997-06-30,United Kingdom,7.52
7648,1997-06-30,Hong Kong SAR,39.28
7653,1997-06-30,Israel,-0.61
7656,1997-06-30,Italy,2.14
7658,1997-06-30,Korea,-0.77
7667,1997-06-30,Netherlands,10.09
7668,1997-06-30,Norway,10.62
7669,1997-06-30,New Zealand,5.03
7677,1997-06-30,Sweden,6.86
7683,1997-06-30,United States,0.65
7684,1997-06-30,Euro area,0.49
7685,1997-06-30,South Africa,-3.22
7694,1997-09-30,Canada,0.77
7695,1997-09-30,Switzerland,-4.87
7698,1997-09-30,Colombia,-4.4
7706,1997-09-30,France,-1.95
7707,1997-09-30,United Kingdom,8.38
7709,1997-09-30,Hong Kong SAR,36.96
7714,1997-09-30,Israel,2.05
7717,1997-09-30,Italy,1.05
7719,1997-09-30,Korea,-0.8
7728,1997-09-30,Netherlands,8.71
7729,1997-09-30,Norway,9.65
7730,1997-09-30,New Zealand,5.29
7738,1997-09-30,Sweden,6.35
7744,1997-09-30,United States,1.49
7745,1997-09-30,Euro area,0.26
7746,1997-09-30,South Africa,1.92
7755,1997-12-31,Canada,0.74
7756,1997-12-31,Switzerland,-3.02
7759,1997-12-31,Colombia,-3.66
7767,1997-12-31,France,-1.38
7768,1997-12-31,United Kingdom,6.0
7770,1997-12-31,Hong Kong SAR,20.14
7775,1997-12-31,Israel,-0.84
7778,1997-12-31,Italy,0.34
7780,1997-12-31,Korea,-2.46
7789,1997-12-31,Netherlands,8.68
7790,1997-12-31,Norway,8.69
7791,1997-12-31,New Zealand,4.03
7799,1997-12-31,Sweden,5.83
7805,1997-12-31,United States,2.72
7806,1997-12-31,Euro area,0.09
7807,1997-12-31,South Africa,7.88
7816,1998-03-31,Canada,-1.36
7817,1998-03-31,Switzerland,-1.78
7820,1998-03-31,Colombia,-0.07
7828,1998-03-31,France,1.17
7829,1998-03-31,United Kingdom,7.41
7831,1998-03-31,Hong Kong SAR,-13.07
7836,1998-03-31,Israel,-1.02
7839,1998-03-31,Italy,-2.64
7841,1998-03-31,Korea,-10.36
7850,1998-03-31,Netherlands,8.21
7851,1998-03-31,Norway,11.56
7852,1998-03-31,New Zealand,-0.98
7860,1998-03-31,Sweden,8.35
7866,1998-03-31,United States,4.11
7867,1998-03-31,Euro area,0.81
7868,1998-03-31,South Africa,11.51
7877,1998-06-30,Canada,-2.91
7878,1998-06-30,Switzerland,-1.26
7881,1998-06-30,Colombia,-3.55
7889,1998-06-30,France,0.18
7890,1998-06-30,United Kingdom,10.74
7892,1998-06-30,Hong Kong SAR,-28.48
7897,1998-06-30,Israel,-2.17
7900,1998-06-30,Italy,-1.79
7902,1998-06-30,Korea,-16.57
7911,1998-06-30,Netherlands,8.03
7912,1998-06-30,Norway,10.55
7913,1998-06-30,New Zealand,-4.09
7921,1998-06-30,Sweden,8.48
7927,1998-06-30,United States,4.53
7928,1998-06-30,Euro area,0.75
7929,1998-06-30,South Africa,10.83
7938,1998-09-30,Canada,-3.01
7939,1998-09-30,Switzerland,-1.05
7942,1998-09-30,Colombia,-6.98
7950,1998-09-30,France,2.16
7951,1998-09-30,United Kingdom,10.46
7953,1998-09-30,Hong Kong SAR,-40.55
7958,1998-09-30,Israel,-2.95
7961,1998-09-30,Italy,-1.64
7963,1998-09-30,Korea,-17.65
7972,1998-09-30,Netherlands,9.0
7973,1998-09-30,Norway,8.7
7974,1998-09-30,New Zealand,-4.29
7982,1998-09-30,Sweden,10.14
7988,1998-09-30,United States,5.06
7989,1998-09-30,Euro area,1.8
7990,1998-09-30,South Africa,5.51
7999,1998-12-31,Canada,-1.75
8000,1998-12-31,Switzerland,-0.33
8003,1998-12-31,Colombia,-9.74
8011,1998-12-31,France,2.29
8012,1998-12-31,United Kingdom,10.49
8014,1998-12-31,Hong Kong SAR,-37.98
8019,1998-12-31,Israel,-0.23
8022,1998-12-31,Italy,-1.79
8024,1998-12-31,Korea,-17.72
8033,1998-12-31,Netherlands,9.84
8034,1998-12-31,Norway,4.13
8035,1998-12-31,New Zealand,-2.39
8043,1998-12-31,Sweden,12.19
8049,1998-12-31,United States,5.43
8050,1998-12-31,Euro area,2.17
8051,1998-12-31,South Africa,-0.87
8060,1999-03-31,Canada,0.0
8061,1999-03-31,Switzerland,-0.41
8064,1999-03-31,Colombia,-13.7
8072,1999-03-31,France,5.42
8073,1999-03-31,United Kingdom,8.39
8075,1999-03-31,Hong Kong SAR,-25.26
8080,1999-03-31,Israel,-0.78
8083,1999-03-31,Italy,-0.29
8085,1999-03-31,Korea,-9.42
8094,1999-03-31,Netherlands,10.94
8095,1999-03-31,Norway,3.95
8096,1999-03-31,New Zealand,0.54
8097,1999-03-31,Peru,15.4
8104,1999-03-31,Sweden,9.25
8105,1999-03-31,Singapore,-22.74
8110,1999-03-31,United States,5.11
8111,1999-03-31,Euro area,3.42
8112,1999-03-31,South Africa,-3.64
8121,1999-06-30,Canada,2.18
8122,1999-06-30,Switzerland,-0.49
8125,1999-06-30,Colombia,-11.87
8133,1999-06-30,France,5.38
8134,1999-06-30,United Kingdom,7.29
8136,1999-06-30,Hong Kong SAR,-14.52
8141,1999-06-30,Israel,-0.91
8144,1999-06-30,Italy,-0.78
8146,1999-06-30,Korea,-1.92
8155,1999-06-30,Netherlands,12.64
8156,1999-06-30,Norway,5.49
8157,1999-06-30,New Zealand,3.82
8158,1999-06-30,Peru,13.17
8165,1999-06-30,Sweden,9.61
8166,1999-06-30,Singapore,-6.42
8171,1999-06-30,United States,5.1
8172,1999-06-30,Euro area,3.11
8173,1999-06-30,South Africa,-2.28
8182,1999-09-30,Canada,2.75
8183,1999-09-30,Switzerland,-1.38
8186,1999-09-30,Colombia,-12.5
8194,1999-09-30,France,6.89
8195,1999-09-30,United Kingdom,9.04
8197,1999-09-30,Hong Kong SAR,2.23
8202,1999-09-30,Israel,0.16
8205,1999-09-30,Italy,-0.76
8207,1999-09-30,Korea,1.41
8216,1999-09-30,Netherlands,14.75
8217,1999-09-30,Norway,9.09
8218,1999-09-30,New Zealand,3.81
8219,1999-09-30,Peru,9.38
8226,1999-09-30,Sweden,9.27
8227,1999-09-30,Singapore,15.97
8232,1999-09-30,United States,5.13
8233,1999-09-30,Euro area,3.41
8234,1999-09-30,South Africa,0.23
8243,1999-12-31,Canada,2.6
8244,1999-12-31,Switzerland,-0.98
8247,1999-12-31,Colombia,-10.26
8255,1999-12-31,France,7.1
8256,1999-12-31,United Kingdom,12.71
8258,1999-12-31,Hong Kong SAR,-0.73
8263,1999-12-31,Israel,-2.29
8266,1999-12-31,Italy,-0.56
8268,1999-12-31,Korea,2.46
8269,1999-12-31,Lithuania,-15.27
8277,1999-12-31,Netherlands,16.59
8278,1999-12-31,Norway,15.66
8279,1999-12-31,New Zealand,0.98
8280,1999-12-31,Peru,8.17
8287,1999-12-31,Sweden,7.38
8288,1999-12-31,Singapore,33.44
8293,1999-12-31,United States,5.14
8294,1999-12-31,Euro area,3.73
8295,1999-12-31,South Africa,4.65
8304,2000-03-31,Canada,2.3
8305,2000-03-31,Switzerland,-2.01
8308,2000-03-31,Colombia,-6.31
8316,2000-03-31,France,7.18
8317,2000-03-31,United Kingdom,15.09
8319,2000-03-31,Hong Kong SAR,-0.65
8324,2000-03-31,Israel,-5.65
8327,2000-03-31,Italy,0.77
8329,2000-03-31,Korea,0.74
8330,2000-03-31,Lithuania,-17.93
8337,2000-03-31,Malaysia,3.12
8338,2000-03-31,Netherlands,17.53
8339,2000-03-31,Norway,17.78
8340,2000-03-31,New Zealand,-1.04
8341,2000-03-31,Peru,-11.79
8348,2000-03-31,Sweden,9.3
8349,2000-03-31,Singapore,29.69
8354,2000-03-31,United States,5.47
8355,2000-03-31,Euro area,3.92
8356,2000-03-31,South Africa,10.81
8365,2000-06-30,Canada,0.57
8366,2000-06-30,Switzerland,-0.66
8369,2000-06-30,Colombia,-4.85
8377,2000-06-30,France,7.87
8378,2000-06-30,United Kingdom,16.69
8380,2000-06-30,Hong Kong SAR,-7.94
8385,2000-06-30,Israel,-4.39
8388,2000-06-30,Italy,0.85
8390,2000-06-30,Korea,0.87
8391,2000-06-30,Lithuania,-9.98
8398,2000-06-30,Malaysia,5.75
8399,2000-06-30,Netherlands,16.82
8400,2000-06-30,Norway,16.21
8401,2000-06-30,New Zealand,-2.95
8402,2000-06-30,Peru,-3.13
8409,2000-06-30,Sweden,10.12
8410,2000-06-30,Singapore,18.15
8415,2000-06-30,United States,5.97
8416,2000-06-30,Euro area,4.0
8417,2000-06-30,South Africa,10.77
8426,2000-09-30,Canada,0.97
8427,2000-09-30,Switzerland,0.95
8430,2000-09-30,Colombia,-3.81
8438,2000-09-30,France,7.0
8439,2000-09-30,United Kingdom,12.2
8441,2000-09-30,Hong Kong SAR,-9.82
8446,2000-09-30,Israel,-6.67
8449,2000-09-30,Italy,1.59
8451,2000-09-30,Korea,-1.58
8452,2000-09-30,Lithuania,-9.9
8459,2000-09-30,Malaysia,4.72
8460,2000-09-30,Netherlands,15.38
8461,2000-09-30,Norway,10.07
8462,2000-09-30,New Zealand,-3.74
8463,2000-09-30,Peru,-6.48
8470,2000-09-30,Sweden,10.63
8471,2000-09-30,Singapore,5.56
8476,2000-09-30,United States,5.98
8477,2000-09-30,Euro area,3.38
8478,2000-09-30,South Africa,11.13
8487,2000-12-31,Canada,0.24
8488,2000-12-31,Switzerland,0.3
8491,2000-12-31,Colombia,-8.07
8499,2000-12-31,France,6.15
8500,2000-12-31,United Kingdom,12.22
8502,2000-12-31,Hong Kong SAR,-9.42
8507,2000-12-31,Israel,-6.78
8510,2000-12-31,Italy,2.14
8512,2000-12-31,Korea,-1.79
8513,2000-12-31,Lithuania,-2.75
8520,2000-12-31,Malaysia,2.89
8521,2000-12-31,Netherlands,12.74
8522,2000-12-31,Norway,6.5
8523,2000-12-31,New Zealand,-4.11
8524,2000-12-31,Peru,-9.89
8531,2000-12-31,Sweden,10.78
8532,2000-12-31,Singapore,-2.95
8537,2000-12-31,United States,6.2
8538,2000-12-31,Euro area,3.05
8539,2000-12-31,South Africa,11.87
8543,2001-03-31,Austria,-1.72
8548,2001-03-31,Canada,-0.24
8549,2001-03-31,Switzerland,2.06
8552,2001-03-31,Colombia,-3.93
8560,2001-03-31,France,6.44
8561,2001-03-31,United Kingdom,9.21
8563,2001-03-31,Hong Kong SAR,-14.63
8568,2001-03-31,Israel,-3.64
8570,2001-03-31,Iceland,4.13
8571,2001-03-31,Italy,1.66
8573,2001-03-31,Korea,-3.57
8574,2001-03-31,Lithuania,11.61
8581,2001-03-31,Malaysia,1.24
8582,2001-03-31,Netherlands,9.24
8583,2001-03-31,Norway,3.55
8584,2001-03-31,New Zealand,-2.55
8585,2001-03-31,Peru,-13.41
8590,2001-03-31,Serbia,-30.97
8592,2001-03-31,Sweden,10.37
8593,2001-03-31,Singapore,-9.44
8598,2001-03-31,United States,6.0
8599,2001-03-31,Euro area,3.26
8600,2001-03-31,South Africa,8.76
8604,2001-06-30,Austria,-4.64
8609,2001-06-30,Canada,1.25
8610,2001-06-30,Switzerland,1.33
8613,2001-06-30,Colombia,-6.78
8621,2001-06-30,France,6.03
8622,2001-06-30,United Kingdom,6.6
8624,2001-06-30,Hong Kong SAR,-8.6
8629,2001-06-30,Israel,-6.47
8631,2001-06-30,Iceland,-0.17
8632,2001-06-30,Italy,1.93
8634,2001-06-30,Korea,-3.29
8635,2001-06-30,Lithuania,10.35
8642,2001-06-30,Malaysia,-0.83
8643,2001-06-30,Netherlands,7.46
8644,2001-06-30,Norway,0.85
8645,2001-06-30,New Zealand,-2.14
8646,2001-06-30,Peru,-4.62
8651,2001-06-30,Serbia,-44.16
8653,2001-06-30,Sweden,5.55
8654,2001-06-30,Singapore,-11.57
8659,2001-06-30,United States,5.3
8660,2001-06-30,Euro area,2.35
8661,2001-06-30,South Africa,8.16
8665,2001-09-30,Austria,1.34
8670,2001-09-30,Canada,2.61
8671,2001-09-30,Switzerland,1.65
8674,2001-09-30,Colombia,-4.43
8682,2001-09-30,France,5.64
8683,2001-09-30,United Kingdom,8.16
8685,2001-09-30,Hong Kong SAR,-8.99
8690,2001-09-30,Israel,-4.61
8692,2001-09-30,Iceland,-2.06
8693,2001-09-30,Italy,2.96
8695,2001-09-30,Korea,1.3
8696,2001-09-30,Lithuania,29.35
8703,2001-09-30,Malaysia,-0.34
8704,2001-09-30,Netherlands,5.76
8705,2001-09-30,Norway,5.25
8706,2001-09-30,New Zealand,-0.51
8707,2001-09-30,Peru,-11.0
8712,2001-09-30,Serbia,-45.84
8714,2001-09-30,Sweden,3.72
8715,2001-09-30,Singapore,-11.0
8720,2001-09-30,United States,5.65
8721,2001-09-30,Euro area,2.98
8722,2001-09-30,South Africa,8.79
8726,2001-12-31,Austria,-2.12
8731,2001-12-31,Canada,4.55
8732,2001-12-31,Switzerland,3.13
8735,2001-12-31,Colombia,3.17
8743,2001-12-31,France,6.64
8744,2001-12-31,United Kingdom,3.61
8746,2001-12-31,Hong Kong SAR,-10.44
8751,2001-12-31,Israel,-3.4
8753,2001-12-31,Iceland,-3.25
8754,2001-12-31,Italy,4.92
8756,2001-12-31,Korea,5.12
8757,2001-12-31,Lithuania,37.74
8764,2001-12-31,Malaysia,-0.44
8765,2001-12-31,Netherlands,4.52
8766,2001-12-31,Norway,5.57
8767,2001-12-31,New Zealand,2.11
8768,2001-12-31,Peru,-7.08
8773,2001-12-31,Serbia,-27.95
8775,2001-12-31,Sweden,2.2
8776,2001-12-31,Singapore,-11.52
8781,2001-12-31,United States,5.86
8782,2001-12-31,Euro area,3.15
8783,2001-12-31,South Africa,6.95
8787,2002-03-31,Austria,-3.41
8791,2002-03-31,Brazil,-6.16
8792,2002-03-31,Canada,8.92
8793,2002-03-31,Switzerland,4.71
8796,2002-03-31,Colombia,-8.13
8804,2002-03-31,France,5.38
8805,2002-03-31,United Kingdom,6.96
8807,2002-03-31,Hong Kong SAR,-6.39
8812,2002-03-31,Israel,0.44
8814,2002-03-31,Iceland,-3.27
8815,2002-03-31,Italy,9.66
8817,2002-03-31,Korea,12.34
8818,2002-03-31,Lithuania,7.49
8825,2002-03-31,Malaysia,0.31
8826,2002-03-31,Netherlands,4.19
8827,2002-03-31,Norway,6.33
8828,2002-03-31,New Zealand,4.0
8829,2002-03-31,Peru,-0.06
8834,2002-03-31,Serbia,-22.78
8835,2002-03-31,Russia,13.87
8836,2002-03-31,Sweden,0.89
8837,2002-03-31,Singapore,-8.31
8842,2002-03-31,United States,6.05
8843,2002-03-31,Euro area,3.44
8844,2002-03-31,South Africa,6.03
8848,2002-06-30,Austria,-0.52
8852,2002-06-30,Brazil,-5.94
8853,2002-06-30,Canada,8.75
8854,2002-06-30,Switzerland,4.9
8857,2002-06-30,Colombia,-2.02
8865,2002-06-30,France,6.04
8866,2002-06-30,United Kingdom,12.35
8868,2002-06-30,Hong Kong SAR,-8.24
8873,2002-06-30,Israel,1.93
8875,2002-06-30,Iceland,-2.55
8876,2002-06-30,Italy,10.71
8878,2002-06-30,Korea,14.37
8879,2002-06-30,Lithuania,18.52
8886,2002-06-30,Malaysia,0.69
8887,2002-06-30,Netherlands,3.32
8888,2002-06-30,Norway,6.17
8889,2002-06-30,New Zealand,5.97
8890,2002-06-30,Peru,-8.95
8895,2002-06-30,Serbia,-13.46
8896,2002-06-30,Russia,17.51
8897,2002-06-30,Sweden,3.26
8898,2002-06-30,Singapore,-8.58
8903,2002-06-30,United States,6.76
8904,2002-06-30,Euro area,4.43
8905,2002-06-30,South Africa,4.84
8909,2002-09-30,Austria,-1.05
8913,2002-09-30,Brazil,-4.87
8914,2002-09-30,Canada,6.5
8915,2002-09-30,Switzerland,5.92
8918,2002-09-30,Colombia,-4.4
8926,2002-09-30,France,7.24
8927,2002-09-30,United Kingdom,15.75
8929,2002-09-30,Hong Kong SAR,-9.6
8934,2002-09-30,Israel,-1.25
8936,2002-09-30,Iceland,2.03
8937,2002-09-30,Italy,9.55
8939,2002-09-30,Korea,14.08
8940,2002-09-30,Lithuania,11.74
8947,2002-09-30,Malaysia,1.02
8948,2002-09-30,Netherlands,2.68
8949,2002-09-30,Norway,1.77
8950,2002-09-30,New Zealand,8.31
8951,2002-09-30,Peru,17.41
8956,2002-09-30,Serbia,-14.39
8957,2002-09-30,Russia,15.94
8958,2002-09-30,Sweden,5.35
8959,2002-09-30,Singapore,-5.3
8964,2002-09-30,United States,7.08
8965,2002-09-30,Euro area,4.49
8966,2002-09-30,South Africa,0.82
8970,2002-12-31,Austria,0.39
8974,2002-12-31,Brazil,-6.03
8975,2002-12-31,Canada,6.94
8976,2002-12-31,Switzerland,6.15
8979,2002-12-31,Colombia,-8.32
8987,2002-12-31,France,7.9
8988,2002-12-31,United Kingdom,23.37
8990,2002-12-31,Hong Kong SAR,-9.17
8995,2002-12-31,Israel,-2.61
8997,2002-12-31,Iceland,4.11
8998,2002-12-31,Italy,7.11
9000,2002-12-31,Korea,13.27
9001,2002-12-31,Lithuania,1.3
9008,2002-12-31,Malaysia,2.98
9009,2002-12-31,Netherlands,2.05
9010,2002-12-31,Norway,0.52
9011,2002-12-31,New Zealand,10.84
9012,2002-12-31,Peru,-3.02
9017,2002-12-31,Serbia,-4.68
9018,2002-12-31,Russia,10.75
9019,2002-12-31,Sweden,6.86
9020,2002-12-31,Singapore,-1.94
9025,2002-12-31,United States,6.98
9026,2002-12-31,Euro area,4.41
9027,2002-12-31,South Africa,-1.86
9031,2003-03-31,Austria,-1.11
9035,2003-03-31,Brazil,-8.12
9036,2003-03-31,Canada,3.96
9037,2003-03-31,Switzerland,4.69
9038,2003-03-31,Chile,0.7
9040,2003-03-31,Colombia,-4.11
9041,2003-03-31,Cyprus,-0.22
9048,2003-03-31,France,8.62
9049,2003-03-31,United Kingdom,21.54
9051,2003-03-31,Hong Kong SAR,-13.35
9054,2003-03-31,Indonesia,-1.34
9056,2003-03-31,Israel,-7.16
9058,2003-03-31,Iceland,7.52
9059,2003-03-31,Italy,3.64
9061,2003-03-31,Korea,6.92
9062,2003-03-31,Lithuania,30.46
9069,2003-03-31,Malaysia,3.39
9070,2003-03-31,Netherlands,1.41
9071,2003-03-31,Norway,-2.7
9072,2003-03-31,New Zealand,13.02
9073,2003-03-31,Peru,-14.68
9078,2003-03-31,Serbia,14.02
9079,2003-03-31,Russia,10.62
9080,2003-03-31,Sweden,4.83
9081,2003-03-31,Singapore,-2.11
9086,2003-03-31,United States,6.45
9087,2003-03-31,Euro area,3.73
9088,2003-03-31,South Africa,-0.72
9092,2003-06-30,Austria,0.1
9096,2003-06-30,Brazil,-6.59
9097,2003-06-30,Canada,5.03
9098,2003-06-30,Switzerland,4.86
9099,2003-06-30,Chile,-3.25
9101,2003-06-30,Colombia,-4.71
9102,2003-06-30,Cyprus,1.47
9109,2003-06-30,France,9.57
9110,2003-06-30,United Kingdom,16.11
9112,2003-06-30,Hong Kong SAR,-14.97
9115,2003-06-30,Indonesia,-0.81
9117,2003-06-30,Israel,-9.59
9119,2003-06-30,Iceland,9.52
9120,2003-06-30,Italy,2.88
9122,2003-06-30,Korea,6.63
9123,2003-06-30,Lithuania,19.82
9130,2003-06-30,Malaysia,1.98
9131,2003-06-30,Netherlands,1.64
9132,2003-06-30,Norway,-3.25
9133,2003-06-30,New Zealand,15.41
9134,2003-06-30,Peru,-9.1
9139,2003-06-30,Serbia,24.67
9140,2003-06-30,Russia,6.89
9141,2003-06-30,Sweden,5.09
9142,2003-06-30,Singapore,-1.49
9147,2003-06-30,United States,6.77
9148,2003-06-30,Euro area,3.91
9149,2003-06-30,South Africa,4.39
9153,2003-09-30,Austria,-4.22
9157,2003-09-30,Brazil,-2.74
9158,2003-09-30,Canada,8.9
9159,2003-09-30,Switzerland,4.19
9160,2003-09-30,Chile,-1.08
9162,2003-09-30,Colombia,-4.27
9163,2003-09-30,Cyprus,-0.78
9170,2003-09-30,France,9.54
9171,2003-09-30,United Kingdom,11.66
9173,2003-09-30,Hong Kong SAR,-10.27
9176,2003-09-30,Indonesia,0.05
9178,2003-09-30,Israel,-4.67
9180,2003-09-30,Iceland,11.83
9181,2003-09-30,Italy,3.5
9183,2003-09-30,Korea,5.0
